"","x"
"1",2095
"2",2090
"3",2085
"4",2080
"5",2075
"6",2070
"7",2065
"8",2060
"9",2055
"10",2050
"11",2045
"12",2040
"13",2035
"14",2030
"15",2025
"16",2020
"17",2015
"18",2010
"19",2005
"20",1995
"21",1985
"22",1975
"23",1965
"24",1955
"25",1945
"26",1935
"27",1925
"28",1915
"29",1905
"30",1895
"31",1885
"32",1875
"33",1865
"34",1855
"35",1845
"36",1835
"37",1825
"38",1815
"39",1805
"40",1790
"41",1775
"42",1760
"43",1745
"44",1730
"45",1715
"46",1700
"47",1685
"48",1670
"49",1655
"50",1635
"51",1615
"52",1595
"53",1575
"54",1555
"55",1535
"56",1515
"57",1495
"58",1475
"59",1455
"60",1435
"61",1415
"62",1395
"63",1375
"64",1355
"65",1335
"66",1315
"67",1295
"68",1275
"69",1255
"70",1235
"71",1215
"72",1195
"73",1175
"74",1155
"75",1135
"76",1115
"77",1095
"78",1075
"79",1055
"80",1035
"81",1015
"82",995
"83",975
"84",955
"85",935
"86",915
"87",895
"88",875
"89",855
"90",835
"91",815
"92",795
"93",775
"94",755
"95",735
"96",715
"97",695
"98",675
"99",655
"100",635
"101",615
"102",595
"103",575
"104",555
"105",535
"106",515
"107",495
"108",475
"109",455
"110",435
"111",415
"112",395
"113",375
"114",355
"115",335
"116",320
"117",305
"118",290
"119",275
"120",260
"121",245
"122",230
"123",220
"124",210
"125",200
"126",190
"127",180
"128",170
"129",160
"130",150
"131",140
"132",130
"133",120
"134",110
"135",100
"136",90
"137",80
"138",70
"139",60
"140",50
"141",40
"142",30
"143",25
"144",20
"145",15
"146",10
"147",5
"148",0
"149",-5
"150",-10
"151",-15
"152",-20
"153",-25
"154",-30
"155",-35
"156",-40
"157",-45
"158",-50
"159",-55
"160",-60
"161",-65
"162",-70
"163",-75
"164",-80
"165",-85
"166",-90
"167",-95
"168",-100
