"","x"
"1",2795
"2",2790
"3",2785
"4",2780
"5",2775
"6",2770
"7",2765
"8",2760
"9",2755
"10",2750
"11",2745
"12",2740
"13",2735
"14",2730
"15",2725
"16",2720
"17",2715
"18",2710
"19",2705
"20",2695
"21",2685
"22",2675
"23",2665
"24",2655
"25",2645
"26",2635
"27",2625
"28",2615
"29",2605
"30",2595
"31",2585
"32",2575
"33",2565
"34",2555
"35",2545
"36",2535
"37",2525
"38",2515
"39",2505
"40",2490
"41",2475
"42",2460
"43",2445
"44",2430
"45",2415
"46",2400
"47",2385
"48",2365
"49",2345
"50",2325
"51",2305
"52",2285
"53",2265
"54",2245
"55",2225
"56",2205
"57",2185
"58",2165
"59",2145
"60",2125
"61",2105
"62",2085
"63",2065
"64",2045
"65",2025
"66",2005
"67",1985
"68",1965
"69",1945
"70",1925
"71",1905
"72",1885
"73",1865
"74",1845
"75",1825
"76",1805
"77",1785
"78",1765
"79",1745
"80",1725
"81",1705
"82",1685
"83",1665
"84",1645
"85",1625
"86",1605
"87",1585
"88",1565
"89",1545
"90",1525
"91",1505
"92",1485
"93",1465
"94",1445
"95",1425
"96",1405
"97",1385
"98",1360
"99",1335
"100",1310
"101",1285
"102",1260
"103",1235
"104",1210
"105",1185
"106",1160
"107",1135
"108",1110
"109",1085
"110",1060
"111",1035
"112",1010
"113",985
"114",960
"115",935
"116",910
"117",890
"118",870
"119",850
"120",830
"121",810
"122",790
"123",775
"124",760
"125",745
"126",730
"127",715
"128",700
"129",685
"130",670
"131",655
"132",640
"133",625
"134",610
"135",595
"136",580
"137",565
"138",550
"139",535
"140",520
"141",505
"142",490
"143",480
"144",470
"145",460
"146",450
"147",440
"148",430
"149",420
"150",410
"151",400
"152",390
"153",380
"154",365
"155",350
"156",335
"157",320
"158",305
"159",290
"160",275
"161",260
"162",240
"163",220
"164",200
"165",175
"166",145
"167",75
"168",0
